country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,36.2,50.8,52.3,,,,,,,,,,,,,69.6,63.7,70.6,73.3,79.9,80.6,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,68.9,99.6,85.8,75.1,74.7,80.5,62.1,57,47.3,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2,105,113,115,132,86.7,82.7,72.2,72.6,79.6,74.2,77.1,72.1,77.9,82.6,,,
Australia,,,,,,,,,,,,,,,,,,,,,12.3,11.9,14.2,17.9,20.2,21.7,21.9,20.9,16.9,31.2,29.6,27.8,26,25.2,23,22.5,21.7,20.3,18.4,24.1,29.3,30.6,40,38.1,42.3,47,54.7,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58,6.3,6.39,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,24.4,28,30.6,34.4,34.9,34,34.2,21.7,21,19.6,18.8,,,,,,23.5,23.3,25.5,30.9,33.7,35.3,36.4,44.1,47.1,48,51.9,
Bahrain,,,,,,,,,,,,,,,,,,,,,8.73,16.4,21.3,19.3,17.9,17,15.8,17,21.2,23.7,25.7,27.1,28.3,32.5,29.4,,20.3,7.55,7.29,15.6,30.3,35.9,,43.9,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,31.9,31.2,,,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,61.9,69,73.9,87.5,97.2,100,112,122,132,146,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,25.8,5.19,76,16.9,11.5,12.2,20.2,15.1,15,11.4,12.3,,,6.57,6.64,8.91,10.7,19.2,18.9,39.4,24.4,23.8,24.5,37.6,40,
Belize,,,,,,,,,,,,,,,,,,,,,28.1,28.6,33,35.3,37.2,36.3,38.8,,,,,,67.3,88,104,92.2,87.7,84.7,78.8,82,80.2,76.9,74.5,77.2,76.6,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,51.2,47.5,45.5,39.3,32.9,27.1,36.3,30.7,30,34.4,39.1,69.9,56.4,68.8,75.2,79.5,74.9,62.8,60.4,56.8,54.9,62.5,72.5,96.1,90.7,91.4,108,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,59.2,57.4,47.9,46.5,47.1,56.3,60.1,68.3,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,49.1,,,,52.9,
Botswana,,,,,,,,,,,,,,,,,,,,,11.4,12.1,12.5,12.4,12,11,11.2,,,,,,,,,,5.89,5.74,7.85,19,21.6,20.3,19.6,18.2,17.4,17.9,15.2,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,62.5,60.7,63.8,61.3,59.3,59.8,57.2,58.5,67.5,73.5,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,19.1,17.7,,,52.5,,,,,64.8,68.6,72.3,62.8,65.5,67.4,80.3,67.1,58,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,290,114,128,104,170,233,244,152,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,30.3,40.4,40.3,38.7,39.5,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,86.6,96.4,95.8,100,91.7,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,15.9,14.2,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,62.1,66.6,78.2,75.3,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5,78.8,68.6,77.5,74.9,67,60.6,53.7,56.7,54.6,65.2,65,64.9,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,21,17.6,,16.4,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,28.2,27.4,35.4,62.4,57.9,56.5,56.2,50.5,48.5,48.4,58.1,57.5,54.6,,62.4,50.9,51.9,52.7,
Ethiopia,,,,,,,,,,,,,,,,,,,,,48.4,50.9,44.4,73.3,92.5,82.6,72.2,69.4,78,85.6,,,,,,,,,,,,,,10.7,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,36.8,33.7,36.6,36.6,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,10.5,17,34.1,51.6,58.2,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,56.9,71.9,69.9,66.7,65,53.8,43.8,35.1,28,22.7,27,34.6,36.8,32.5,32.5,33.9,35.4,41.3,44.4,
